"built_work_site_primary_key","site_name_pinyin","site_name2_traditional","site_name3_simplified","iri_local_name","modified","dont_use_site_name_zh-Hans","dont_use_site_name_zh-Latn-pinyin","site_name_en","site_main_image","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zn-Hant","province_name_zh-latn-pinyin","province_zn-Hans","province_zn-Hant","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
"000061","Lingyansi","靈岩寺","灵岩寺","Lingyansi","2017-04-03T21:42:00-05:00","灵岩寺 ","Lingyansi","Lingyan Monastery",,1803429,8625249,"前秦","Former Qin","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","前秦至清","Former Qin to Qing","山东省长清县","山东","山東","Shandong","山东省","山東省","长清","县","Changqing Qu","County","8208980","300387198",,,,"长清县","Changqing District",1815582,,"Legendarily built in the Former Qin, Yonxing reign period (357-359 CE) ZGMSCD, p. 584"
"000062","Lingzewangmiao","靈澤王廟 ","灵泽王庙 ","Lingze_wangmiao","2017-04-03T21:42:00-05:00","灵泽王庙/ 太平龍王廟","Lingzewangmiao","Lingzewang Temple",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省長治","山西","山西","Shanxi","山西省","山西省","長治","市","Changzhi","City",,,"襄垣","县",,"長治襄垣县",,,,
"000063","Longmensi","龍門寺","龙门寺","Longmensi","2017-04-03T21:42:00-05:00","龙门寺","Longmensi","Longmen Monastery",,,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","五代－清","Five Dynasties to Qing","山西省平顺县","山西","山西","Shanxi","山西省","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
"000064","Longxingsi","隆興寺","隆兴寺","Longxingsi","2017-04-03T21:42:00-05:00","隆兴寺","Longxingsi","Longxing Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","initially built 586; now 宋 10th-11th century","Song","河北省正定县","河北","河北","Hebei","河北省","河北省","正定","县","Zhengding","County","8683355","300387198",,,,"正定县",,,,"Initially built 586; now 宋 10th-11th century"
"000065","Meian","梅庵","梅庵","Meian","2017-04-03T21:42:00-05:00","梅庵","Meian","Mei Hermitage",,,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","北宋 996?","Northern Song","广东省肇庆市","广东","廣東","Guangdong","广东省","廣東省","肇庆","市","Zhaoqing","City",,,,,,"肇庆市",,,,
"000066","Nanchansi","南禪寺","南禅寺","Nanchansi","2017-04-03T21:42:00-05:00","南禅寺","Nanchansi","Nanchan Monastery",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","山西省五台县","山西","山西","Shanxi","山西省","山西省","五台","县","Wutai","County","8675821","300387198",,,,"五台县",,,,
"000067","Nanjixiangsi","南吉祥寺","南吉祥寺","Nanjixiangsi","2017-04-03T21:42:00-05:00","南吉祥寺","Nanjixiangsi","South Jixiang Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋－清","Song to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198","平川","村",,"陵川县平川",,,,
"000068","Nanshentou Erxianmiao","南神頭二仙廟","南神头二仙庙","Nanshentou_Erxianmiao","2017-04-03T21:42:00-05:00","南神头二仙庙","Nanshentou Erxianmiao","Erxian Temple in Nanshentou",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198","潞城","镇","石圪峦村","陵川县; 陵川县潞城镇石圪峦村",,,,
"000069","Nantong Tianningsi","南通天寧寺","南通天宁寺","Nantong_Tianningsi","2017-04-03T21:42:00-05:00","南通天宁寺","Nantong Tianningsi","Tianning Monastery in Nantong",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","江苏省南通市","江苏","江蘇","Jiangsu","江苏省","江蘇省","南通","市",,"City",,,,,,"南通市",,,,
"000070","Pingyao Wenmiao","平遙文廟","平遥文庙","Pingyao_Wenmiao","2017-04-03T21:42:00-05:00","平遥文廟","Pingyao Wenmiao","Wenmiao in Pingyao",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省平遥县","山西","山西","Shanxi","山西省","山西省","平遥","县","Pingyao","County","8619493","300387198",,,,"平遥县",,,,
"000071","Puguangsi","普光寺","普光寺","Puguangsi","2017-04-03T21:42:00-05:00","普光寺","Puguangsi","Puguang Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省寿阳县","山西","山西","Shanxi","山西省","山西省","寿阳","县",,"County",,,,,,"寿阳县",,,,
"000072","Putian Yuanmiaoguan","莆田元妙觀","莆田元妙观","Putian_Yuanmiaoguan_Sanqingdian","2017-04-03T21:42:00-05:00","莆田元妙观三清殿","Yuanmiaoguan","Putian Yuanmiao Belvedere",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","福建省莆田市","福建","福建","Fujian","福建省","福建省","莆田","市","Putian","City","8623015","300387145",,,,"莆田市",,,,
"000073","Puzhaosi","普照寺","普照寺","Puzhaosi","2017-04-03T21:42:00-05:00","普照寺大殿","Puzhaosi","Puzhao Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省沁县","山西","山西","Shanxi","山西省","山西省","沁","县",,"County",,,,,,"沁县",,,,
"000074","Qingliansi","青蓮寺","青莲寺","Qingliansi","2017-04-03T21:42:00-05:00","青莲寺","Qingliansi","Qinglian Monastery",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","山西省晋城市","山西","山西","Shanxi","山西省","山西省","晋城","市","Jincheng","City","8619006","300387145",,,,"晋城市",,,,
"000075","Qinshui Cuifujunmiao","沁水崔府君廟","沁水崔府君庙","Qinshui_Cuifujunmiao","2017-04-03T21:42:00-05:00","沁水崔府君庙","Qinshui Cuifujunmiao","Cuifujun Temple in Qinshui","https://farm5.staticflickr.com/4091/4838233004_f2f2234d1b_z.jpg",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","元","Yuan","http://n2t.net/ark:/99152/p0fp7wvvrz5","金元","Jin to Yuan","山西省沁水县","山西","山西","Shanxi","山西省","山西省","沁水","县","Qinshui","County","8627543","300387198","加丰","镇","郭南村","加丰镇郭南村","Jiafengzhen_Guonancun",,,
"000076","Qinshui Longyansi","沁水龍岩寺","沁水龙岩寺","Qinshui_Longyansi","2017-04-03T21:42:00-05:00","沁水龙岩寺","Qinshui Longyansi","Longyan Moastery in Qinshui",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin",,,,,,,,,,,,,,,,,"Qinshuixian_Zhongcunzhen_Shanggecun",,,
"000077","Qinshui Shundimiao ","沁水舜帝廟","沁水舜帝庙","Qinshui_Shundimiao ","2017-04-03T21:42:00-05:00",,,"Qinshui Shundi Temple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
