"built_work_site_primary_key","site_name_pinyin","site_name2_traditional","site_name3_simplified","iri_local_name","modified","dont_use_site_name_zh-Hans","dont_use_site_name_zh-Latn-pinyin","site_name_en","site_main_image","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zn-Hant","province_name_zh-latn-pinyin","province_zn-Hans","province_zn-Hant","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
"000001","Anchansi","安禪寺","安禅寺","Anchansi","2017-04-03T21:42:00-05:00","安禅寺","Anchansi","Anchan Monastery","https://farm5.staticflickr.com/4114/4818773384_95d97c1a77_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","宋至明","Song to Ming","山西省太谷县","山西","山西","Shanxi","山西省","山西省","太谷","县","Taigu","County","8677393","300387198",,,,"太谷县","Taiguxian",,,
"000002","Baitaisi","白臺寺","白台寺","Baitaisi","2017-04-03T21:42:00-05:00","白台寺","Baitaisi","Baitai Monastery","https://farm5.staticflickr.com/4073/4831069771_14fcd97cc0_z.jpg",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvrjpj","金至清","Jin to Qing","山西省新绛县","山西","山西","Shanxi","山西省","山西省","新绛","县","Xinjiang","County","8675152","300387198",,,,"新绛县",,,,
"000003","Baiyugong","白玉宮","白玉宫","Baiyugong","2017-04-03T21:42:00-05:00","白玉宫","Baiyugong","Baiyu Palace",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县","Ling State, Lingchuan County",,,
"000004","Baoguosi","保國寺","保国寺","Baoguosi","2017-04-03T21:42:00-05:00","保国寺","Baoguosi","Baoguo Monastery","https://farm5.staticflickr.com/4608/40280520912_014e34d84c_z.jpg",,,"东汉","Eastern Han","http://n2t.net/ark:/99152/p0fp7wv8644","民国","Republic of China","http://n2t.net/ark:/99152/p0fp7wv6f2v","东汉至民国","Eastern Han to Republic of China","浙江省宁波市","浙江","浙江","Zhejiang","浙江省","浙江省","宁波","市","Ningbo","City","8630826","300387145",,,,"宁波市",,,,
"000005","Beijixiangsi","北吉祥寺","北吉祥寺","Beijixiangsi","2017-04-03T21:42:00-05:00","北吉祥寺","Beijixiangsi","North Jixiang Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋－清","Song to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198","禮義","镇",,"陵川县禮義",,,,"https://zh.wikipedia.org/zh-hans/北吉祥寺"
"000006","Beiyicheng Yuhuangmiao","北義城玉皇廟","北义城玉皇庙","Beiyicheng_Yuhuangmiao","2017-04-03T21:42:00-05:00","北义城玉皇庙","Beiyicheng Yuhuangmiao","Yuhuang Temple in Beiyicheng","https://farm4.staticflickr.com/3026/3972146865_b5a30fe404_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省泽州县","山西","山西","Shanxi","山西省","山西省","泽州","县",,"County",,,,,,"泽州县",,,,
"000007","Bucun Yuhuangmiao","布村玉皇廟","布村玉皇庙","Bucun_Yuhuangmiao","2017-04-03T21:42:00-05:00","布村玉皇庙","Bucun Yuhuangmiao","Yuhuang Temple in Bucun","https://farm5.staticflickr.com/4103/4831558221_a8ab2f8ed1_z.jpg",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","五代，金","Five Dynasties to Jin","山西省长治市","山西","山西","Shanxi","山西省","山西省","长治","市","Changzhi","City","8206366","300387198","长子","县","布村","村",,,,
"000008","Buersi","不二寺","不二寺","Buersi","2017-04-03T21:42:00-05:00","不二寺","Buersi","Buer Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省阳曲县","山西","山西","Shanxi","山西省","山西省","阳曲","县","Yangqu Zhen","County","8675188","300387199",,,,"阳曲县",,,,
"000009","Changzhi Zhengjuesi","長治正覺寺","长治正觉寺","Zhengjuesi","2017-04-03T21:42:00-05:00","正觉寺","Zhengjuesi","Zhengjue Monastery in Changzhi ",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省长治县","山西","山西","Shanxi","山西省","山西省","长治","县",,"County",,,,,,"长治县",,,,
"000010","Chengtangmiao","成湯廟","成汤庙","Chengtangmiao","2017-04-03T21:42:00-05:00","成汤庙山门","Chengtangmiao","Chengtang Temple",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金 1164","Jin","河北省邯鄲涉县","河北","河北","Hebei","河北省","河北省","邯鄲","市",,"City",,,"涉","县",,"邯鄲涉县",,,," "
"000011","Chongfusi","崇福寺","崇福寺","Chongfusi","2017-04-03T21:42:00-05:00","崇福寺弥陀殿","Chongfusi","Chongfu Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省朔县","山西","山西","Shanxi","山西省","山西省","朔","县",,"County",,,,,,"朔县",,,,
"000012","Chongjiaosi","崇教寺","崇教寺","Chongjiaosi","2017-04-03T21:42:00-05:00","崇教寺正殿","Chongjiaosi","Chongjiao Monastery","https://farm5.staticflickr.com/4120/4809575395_4f79b20a92_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","宋金","Song to Jin","山西省长治市","山西","山西","Shanxi","山西省","山西省","长治","市","Changzhi","City","8206366","300387198","马厂","镇","故驿村","马厂镇故驿村","Changzhi Municipality Guyicun",,,
"000013","Chongmingsi","崇明寺","崇明寺","Chongmingsi","2017-04-03T21:42:00-05:00","崇明寺","Chongmingsi","Chongming Monastery",,,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","北宋至明","Northern Song to Ming","山西省高平市","山西","山西","Shanxi","山西省","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
"000014","Chongqingsi","崇慶寺","崇庆寺","Chongqingsi","2017-04-03T21:42:00-05:00","崇庆寺","Chongqingsi","Chongqing Monastery","https://farm5.staticflickr.com/4081/4821743209_a70bbdd8c6_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省长子县","山西","山西","Shanxi","山西省","山西省","长子","县 ","Zhangzi","County","8677997","300387198","色头","镇",,"长子县 (长子县色头镇)","Zhangzixian setouzhen",,,
"000015","Chunhuasi","淳化寺","淳化寺","Chunhuasi","2017-04-03T21:42:00-05:00","淳化寺","Chunhuasi","Chunhua Monastery","https://farm5.staticflickr.com/4108/4834867030_bc5827154b_z.jpg",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省平顺县","山西","山西","Shanxi","山西省","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
"000016","Cixiangsi","慈相寺","慈相寺","Cixiangsi","2017-04-03T21:42:00-05:00","慈相寺","Cixiangsi","Cixiang Monastery",,,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清","Northern Song to Qing","山西省平遥县","山西","山西","Shanxi","山西省","山西省","平遥","县","Pingyao","County","8619493","300387198",,,,"平遥县",,,,
"000017","Cuifujunmiao","崔府君廟","崔府君庙","Cuifujunmiao","2017-04-03T21:42:00-05:00","崔府君庙","Cuifujunmiao","Cuifujun Temple","https://farm4.staticflickr.com/3439/3972146193_1867d3e1bf_z.jpg",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县",,,,
"000018","Quwo Dabeiyuan","曲沃大悲院","曲沃大悲院","Quwo_Dabeiyuan","2017-04-03T21:42:00-05:00","曲沃大悲院过殿","Quwo Dabeiyuan","Dabei Cloister in Quwo","https://farm5.staticflickr.com/4154/4837935563_c0d5286bdd_z.jpg",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省临汾市","山西","山西","Shanxi","山西省","山西省","临汾","市","Linfen","City","8622739","300387145","曲沃","县","曲村镇曲村中","曲村镇曲村中","Quwo_Qucunzhen_Qucun_zhong",,,
"000019","Damiao","大廟","大庙","Damiao","2017-04-03T21:42:00-05:00","大庙飞来殿","Damiao","Great Temple",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","元","Yuan","http://n2t.net/ark:/99152/p0fp7wvvrz5","宋至元: 993 or 1327 see: ZGMSCD, p. 922","Song to Yuan","四川省峨眉县","四川","四川","Sichuan","四川省","四川省","峨眉","县",,"County",,,,,,"峨眉县",,,,"993 or 1327 see: ZGMSCD, p. 922"
"000020","Dayunyuan","大雲院","大云院","Dayunyuan","2017-04-03T21:42:00-05:00","大云院","Dayunyuan","Dayun Cloister","https://farm5.staticflickr.com/4798/40758358071_bdd1017231_z.jpg",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","五代至清","Five Dynasties to Qing","山西省平顺县","山西","山西","Shanxi","山西省","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
"000021","Dingxiang Guanwangmiao","定襄關王廟","定襄关王庙","Dingxiang_Guanwangmiao","2017-04-03T21:42:00-05:00","定襄关王庙","Dingxiang Guanwangmiao","Guanwang Temple in Dingxiang",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省定襄县","山西","山西","Shanxi","山西省","山西省","定襄","县",,"County",,,,,,"定襄县",,,,
"000022","Zhoucun Dongyuemiao","周村東岳廟","周村东岳庙","Zhoucun_Dongyuemiao","2017-04-03T21:42:00-05:00","周村东岳庙","Zhoucun Dongyuemiao","Dongyue Temple in Zhoucun",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省泽州县","山西","山西","Shanxi","山西省","山西省","泽州","县","Zezhou","County","8145851","300387198",,,,"泽州县",,,,
"000023","Dongyi Longwangmiao","東邑龍王廟","东邑龙王庙","Dongyi_Longwangmiao","2017-04-03T21:42:00-05:00","东邑龙王庙","Dongyi Longwangmiao","Longwang Temple in Dongyi",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省潞城市","山西","山西","Shanxi","山西省","山西省","潞城","市","Lucheng Zhen","City","8620155","300387199",,,,"潞城市",,,,
"000024","Dulesi","獨樂寺","独乐寺","Dulesi","2017-04-03T21:42:00-05:00","独乐寺","Dulesi","Dule Monastery",,,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","河北省蓟县","河北","河北","Hebei","河北省","河北省","蓟","县",,"County",,,,,,"蓟县",,,,
"000025","Faxingsi","法興寺","法兴寺","Faxingsi","2017-04-03T21:42:00-05:00","法兴寺","Faxingsi","Faxing Monastery",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐 (to Qing)","Tang to Qing","山西省长子县","山西","山西","Shanxi","山西省","山西省","长子","县","Zhangzi","County","8677997","300387198",,,,"长子县",,,,
"000026","Fencheng Gujianzhuqun","汾城古建筑群","汾城古建筑群","Fencheng_Gujianzhuqun","2017-04-03T21:42:00-05:00","汾城古建筑群","Fencheng Gujianzhuqun","Fencheng historic building group",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省襄汾县","山西","山西","Shanxi","山西省","山西省","襄汾","县",,"County",,,,,,"襄汾县",,,,
"000027","Fengguosi","奉國寺","奉国寺","Fengguosi","2017-04-03T21:42:00-05:00","奉国寺","Fengguosi","Fengguo Monastery",,,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽 1020","Liao ","辽宁省义县","辽宁","遼寧","Liaoning","辽宁省","遼寧省","义","县",,"County",,,,,,"义县",,,,
"000028","Fogongsi","佛宮寺","佛宫寺","Fogongsi","2017-04-03T21:42:00-05:00","佛宫寺释迦塔（应县木塔）","Fogongsi","Fogong Monastery",,,,"辽","Liao","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao","山西省应县","山西","山西","Shanxi","山西省","山西省","应","县",,"County",,,,,,"应县",,,,
"000029","Foguangsi","佛光寺","佛光寺","Foguangsi","2017-04-03T21:42:00-05:00","佛光寺","Foguangsi","Foguang Monastery",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","山西省五台县","山西","山西","Shanxi","山西省","山西省","五台","县","Wutai","County","8675821","300387198",,,,"五台县",,,,
"000030","Fotousi","佛頭寺","佛头寺","Fotousi","2017-04-03T21:42:00-05:00","佛头寺","Fotousi","Fotou Monastery","https://farm5.staticflickr.com/4102/4821604417_2720cb6dfb_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省平顺县","山西","山西","Shanxi","山西省","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
"000031","Fuxiangsi","福祥寺","福祥寺","Fuyangsi","2017-04-03T21:42:00-05:00","福祥寺","Fuyangsi","Fuxiang Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省榆社县","山西","山西","Shanxi","山西省","山西省","榆社","县",,"County",,,,,,"榆社县",,,,
"000032","Gaoping Erlangmiao","高平二郞廟","高平二郞庙","Erlangmiao","2017-04-03T21:42:00-05:00","二郞庙","Erlangmiao","Gaoping Erlangmiao",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省高平市","山西","山西","Shanxi","山西省","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
"000033","Geyuansi","閣院寺","阁院寺","Geyuansi","2017-04-03T21:42:00-05:00","阁院寺","Geyuansi","Geyuan Monastery",,,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","河北省涞源县","河北","河北","Hebei","河北省","河北省","涞源","县","Laiyuan","County","8630454","300387198",,,,"涞源县",,,,
"000034","Guangdesi","廣德寺","广德寺","Guangdesi","2017-04-03T21:42:00-05:00","广德寺","Guangdesi","Guangde Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","四川省遂宁市","四川","四川","Sichuan","四川省","四川省","遂宁","市",,"City",," county",,,,"遂宁市",,,,
"000035","Guanghuasi","廣華寺","广华寺","Guanghuasi","2017-04-03T21:42:00-05:00","广华寺","Guanghuasi","Guanghua Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn",,,,,,"山西省五台县","山西","山西","Shanxi","山西省","山西省","五","县",,"County",,,,,,,"Taiguxian_beiguangxiang_Baichengcun",,,
"000036","Guangrenwangmiao","廣仁王廟","广仁王庙","Guangren_wangmiao","2017-04-03T21:42:00-05:00","广仁王庙","Guangrenwangmiao","Guangrenwang Temple",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","山西省芮城县","山西","山西","Shanxi","山西省","山西省","芮城","县","Ruicheng","County","8624069","300387198",,,,"芮城县",,,,
"000037","Hancheng Fawangmiao","韓城法王廟","韩城法王庙","Fawangmiao","2017-04-03T21:42:00-05:00","法王庙","Fawangmiao","Fawang Temple in Hancheng",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","陕西省韩城市","陕西","陕西","Shanxi","陕西省","陕西省","韩城","市",,"City",,,,,,"韩城市",,,,
